Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,AQI_Class
1,0.0,2021,0,0.6666666666666666,408.8,442.42,0.3669352971145385,0.10464390765665388,0.5643340857787812,0.3577803304762746,462,Hazardous
2,0.0,2021,0,0.8333333333333334,404.04,561.95,0.11738687416052986,0.03538639807469471,0.525959367945824,0.12132190509852432,482,Hazardous
3,0.0,2021,1,0.9999999999999999,225.07,239.04,0.39088045945069705,0.08663873785542382,0.255079006772009,0.36750022090660067,263,Very Unhealthy
4,0.0,2021,0,0.0,89.55,132.08,0.35158167755083136,0.08209287815313307,0.1670428893905192,0.41079791464168947,207,Very Unhealthy
5,0.0,2021,0,0.16666666666666666,54.06,55.54,0.2790514566254458,0.07567519386754612,0.0835214446952596,0.40805867279314306,149,Unhealthy
6,0.0,2021,0,0.33333333333333337,155.59,180.14,0.32548284007225237,0.08093412960156876,0.20541760722347632,0.3690907484315631,252,Very Unhealthy
7,0.0,2021,0,0.5,118.39,131.18,0.2239590570144968,0.07665567341117746,0.10383747178329572,0.4055845188654237,288,Very Unhealthy
8,0.0,2021,0,0.6666666666666666,140.05,184.29,0.23262007317863928,0.0813798021214012,0.11738148984198649,0.3566316161526906,248,Very Unhealthy
9,0.0,2021,0,0.8333333333333334,144.01,192.43,0.24609791116668986,0.08200374364916659,0.13092550790067722,0.3492975170098082,326,Dangerous
10,0.0,2021,1,0.9999999999999999,131.57,180.38,0.21108332175443476,0.0776361529548088,0.09480812641083522,0.435274365998056,284,Very Unhealthy
11,0.0,2021,0,0.0,135.92,208.99,0.2383168912972998,0.08271681968089847,0.10835214446952598,0.4626667844835204,281,Very Unhealthy
12,0.0,2021,0,0.16666666666666666,172.48,220.74,0.253253670510861,0.08022105356983689,0.14446952595936796,0.3445259344349209,329,Dangerous
13,0.0,2021,0,0.33333333333333337,224.71,330.04,0.28639247834745957,0.05401550940369017,0.2144469525959368,0.25439604135371563,378,Dangerous
14,0.0,2021,0,0.5,345.82,417.42,0.3252049465054884,0.06488991888760139,0.3340857787810384,0.2598745250508085,422,Hazardous
15,0.0,2021,0,0.6666666666666666,462.62,517.76,0.40755407345653283,0.07932970853017202,0.5056433408577878,0.20420606167712288,456,Hazardous
16,0.0,2021,0,0.8333333333333334,185.66,230.76,0.28442406558288175,0.05508512345128799,0.31151241534988716,0.21940443580454183,388,Dangerous
17,0.0,2021,1,0.9999999999999999,222.01,249.23,0.3102913250891575,0.07442731081201533,0.255079006772009,0.3013166033401078,342,Dangerous
18,0.0,2021,0,0.0,232.16,318.1,0.4820295493492659,0.1222034049380515,0.2370203160270881,0.22505964478218607,401,Hazardous
19,0.0,2021,0,0.16666666666666666,227.93,299.28,0.42531610393219393,0.10491131116855335,0.32054176072234764,0.17955288504020497,400,Dangerous
20,0.0,2021,0,0.33333333333333337,159.91,193.78,0.3247881061553425,0.05561993047508691,0.13769751693002258,0.25854908544667315,322,Dangerous
21,0.0,2021,0,0.5,182.39,243.84,0.635218378027882,0.039130047241287096,0.27765237020316036,0.2739241848546435,328,Dangerous
22,0.0,2021,0,0.6666666666666666,310.98,358.0,0.4153119355286925,0.028433906765308853,0.4559819413092552,0.21366086418662186,412,Hazardous
23,0.0,2021,0,0.8333333333333334,170.36,213.65,0.32710388587837524,0.025403333630448346,0.10835214446952598,0.2781655915878766,362,Dangerous
